Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2995774.551,527587.2187,2730355.657,1800861.672,24321700,2468136.421,2462990.098,6926873.183,9287143.293,4719438.547,922284.3244,850527.1283,8221304.271,4058960.508,2102110.374,2189257.749,2744545.876,3122619.608,1006924.299,5654080.977,4392902.999,7563269.286,3232310.255,1958186.566,4805552.839,703672.3636,1254734.82,988472.3476,923007.6947,12371595.4,1209963.647,12859820.81,4825802.256,590347.8953,7808716.656,2362912.568,2148472.537,8540238.42,848204.2825,2604119.419,630797.2316,3587338.67,12149924.49,1356887.001,536578.0814,4513770.883,3579918.999,1406827.832,3597651.115,459383.2341
1729611.244,304602.6227,1576371.573,1039727.971,14042140.04,1424979.227,1422007.996,3999232.097,5361934.68,2724769.116,532481.103,491052.0665,4746572.234,2343441.942,1213653.99,1263968.551,1584564.3,1802845.271,581348.0151,3264385.174,2536243.729,4366655.558,1866175.196,1130559.541,2774487.225,406265.4285,724421.4862,570694.776,532898.741,7142743.933,698572.8375,7424621.007,2786178.232,340837.5162,4508364.664,1364228.207,1240421.197,4930708.951,489710.9708,1503489.047,364190.9515,2071150.947,7014762.177,783399.0755,309793.4997,2606026.834,2066867.198,812232.4275,2077104.84,265225.0339
1223019.839,215386.5801,1114663.029,735198.6988,9929292.446,1007612.474,1005511.497,2827884.135,3791460.372,1926702.719,376520.9988,347226.2461,3356333.414,1657063.689,858182.9664,893760.7334,1120456.162,1274804.117,411075.1237,2308268.893,1793395.14,3087691.756,1319585.136,799426.3182,1961858.731,287273.0395,512243.3454,403542.1461,376816.3134,5050682.672,493965.5905,5249999.862,1970125.521,241008.519,3187895.226,964655.0163,877110.2403,3486537.735,346277.9483,1063127.301,257521.8914,1464524.879,4960185.904,553946.7987,219057.0844,1842739.246,1461495.811,574335.0574,1468734.918,187542.42
947347.0938,166837.7275,863414.2698,569482.4633,7691196.857,780493.2666,778865.8563,2190469.632,2936852.576,1492417.509,291651.9116,268960.2937,2599804.683,1283556.014,664745.6674,692304.0872,867901.611,987459.0228,318417.4216,1787977.396,1389157.902,2391715.75,1022146.251,619232.9634,1519649.239,222520.7395,396781.9892,312582.4022,291880.6613,3912241.975,382624.1011,4066632.406,1526052.667,186684.3961,2469333.024,747218.5626,679406.6707,2700660.517,268225.7454,823494.8662,199475.5994,1134416.094,3842143.48,429085.3452,169680.888,1427379.683,1132069.787,444878.0225,1137677.175,145269.7339
773505.663,136222.4341,704974.7992,464980.4842,6279835.937,637270.0836,635941.3087,1788510.965,2397930.087,1218553.793,238132.7886,219605.1602,2122731.635,1048019.097,542762.5646,565263.9201,708638.698,806256.9159,259986.7361,1459877.431,1134242.677,1952827.732,834578.9191,505601.5974,1240788.408,181687.423,323971.1375,255222.4627,238319.562,3194332.196,312411.2704,3320391.456,1246016.785,152427.1711,2016201.971,610101.4016,554733.2237,2205080.078,219005.404,672380.7427,162871.1448,926246.8618,3137097.015,350346.7173,138543.8649,1165450.631,924331.1108,363241.3843,928909.5237,118612.241
653731.6022,115128.9698,595812.451,392980.2346,5307430.061,538591.5225,537468.5028,1511567.652,2026620.816,1029865.923,201258.9395,185600.2355,1794035.673,885737.7987,458718.0908,477735.2071,598909.0107,681411.4629,219728.8962,1233821.622,958610.0245,1650440.667,705347.9244,427311.3412,1048657.602,153553.8986,273805.5853,215702.3502,201416.7918,2699703.447,264035.7144,2806242.966,1053076.387,128824.4722,1704001.674,515629.7953,468835.1442,1863632.81,185093.349,568265.4455,137651.241,782821.4761,2651330.889,296097.0187,117090.9369,984985.5591,781202.3711,306995.0014,785071.8362,100245.6402
566148.1747,99704.61254,515988.7185,340330.8663,4596369.262,466433.9408,465461.3771,1309055.986,1755105.11,891890.0517,174295.3543,160734.5189,1553680.468,767071.4347,397261.5198,413730.8257,518670.4178,590119.6373,190290.806,1068520.868,830180.6336,1429323.545,610849.221,370062.4768,908164.1232,132981.577,237122.5926,186803.715,174432.0585,2338011.767,228661.6362,2430277.698,911990.9033,111565.2656,1475708.738,446548.5017,406023.1451,1613953.357,160295.5423,492132.3119,119209.4716,677943.285,2296119.904,256427.5402,101403.7259,853022.5165,676541.0989,265865.4701,679892.1539,86815.27099
499295.7585,87931.20311,455059.2761,300143.6119,4053616.667,411356.0701,410498.3496,1154478.864,1547857.215,786573.0912,153714.0541,141754.5214,1370217.378,676493.4181,350351.7289,364876.2915,457424.3126,520436.6014,167820.7165,942346.8294,732150.4999,1260544.881,538718.3758,326364.4277,800925.4732,117278.7273,209122.47,164745.3913,153834.6158,2061932.566,201660.6079,2143303.468,804300.376,98391.31588,1301452.776,393818.7613,358078.7561,1423373.07,141367.3804,434019.9031,105132.8719,597889.7783,2024987.416,226147.8336,89429.68023,752295.1471,596653.1664,234471.3053,599608.5192,76563.87235
446583.7028,78648.059,407017.3901,268456.6077,3625664.969,367928.0543,367160.8857,1032597.287,1384445.581,703532.3605,137486.0296,126789.0984,1225559.681,605074.1076,313364.1128,326355.2765,409132.743,465492.6474,150103.4121,842860.6276,654855.315,1127465.617,481844.3636,291909.2184,716369.5212,104897.2826,187044.8235,147352.7575,137593.8633,1844248.553,180370.731,1917028.901,719388.1261,88003.86828,1164054.751,352242.2084,320275.376,1273103.577,126442.829,388199.2028,94033.69932,534768.875,1811203.806,202272.7715,79988.33768,672873.2353,533662.8157,209717.511,536306.1635,68480.80928
403950.1581,71139.84606,368161.0817,242828.1383,3279537.359,332803.4471,332109.517,934019.3894,1252278.146,636368.9639,124360.7929,114685.0546,1108560.442,547310.1233,283448.505,295199.4546,370074.4904,421053.9421,135773.6448,762396.1234,592338.9196,1019831.022,435844.6258,264041.8228,647980.6127,94883.16214,169188.4087,133285.5842,124458.3322,1668185.583,163151.4649,1734017.884,650711.0435,79602.49396,1052927.139,318615.0656,289699.9778,1151565.514,114371.8421,351139.3908,85056.68135,483716.6476,1638295.484,182962.6059,72352.17374,608636.7417,482716.1793,189696.6262,485107.1774,61943.22265
